ClientID,City/Municipality,Demand,LocationID,MaxWeight,Latitude,Longitude
1,Bogotá,16.0,2,N/A,4.6097,-74.0817
2,Medellín,18.0,3,N/A,6.2518,-75.5636
3,Cali,16.0,4,35.0,3.4516,-76.5320
4,Cartagena,18.0,5,N/A,10.3932,-75.4832
5,Cúcuta,15.0,6,35.0,7.8939,-72.5078
6,Bucaramanga,17.6,7,N/A,7.1254,-73.1299
7,Pereira,17.6,8,25.0,4.8133,-75.6961
8,Santa Marta,10.0,9,50.0,11.2404,-74.2110
9,Ibagué,11.0,10,40.0,4.4447,-75.2422
10,Manizales,9.0,11,38.0,5.0689,-75.5174
11,Neiva,5.0,12,10.0,2.9271,-75.2819
12,Barranquilla,7.0,13,50.0,10.9685,-74.7813
13,Villavicencio,5.0,14,10.0,4.1420,-73.6266
14,Armenia,10.0,15,N/A,4.5339,-75.6811
